id,ovr,name,team,pos,bye_week
649,454,Jake Bobo,SEA,WR,8
650,455,Julian Hill,MIA,TE,12
651,456,Pierre Strong Jr.,FA,RB,-
652,457,Sione Vaki,DET,RB,8
653,458,Rasheen Ali,BAL,RB,7
654,459,Marcus Mariota,WAS,QB,12
655,460,Dylan Laube,LV,RB,8
656,461,Malachi Corley,CLE,WR,9
657,462,Zach Wilson,MIA,QB,12
658,463,Cordarrelle Patterson,FA,RB,-
659,464,Mac Jones,SF,QB,14
660,465,Jacoby Brissett,ARI,QB,8
661,466,KhaDarel Hodge,ATL,WR,5
662,467,K.J. Osborn,FA,WR,-
663,468,Zavier Scott,MIN,WR,6
664,469,Gardner Minshew II,KC,QB,10
665,470,Sam Howell,PHI,QB,9
666,471,Hunter Luepke,DAL,RB,10
667,472,Jake Browning,CIN,QB,10
668,473,Marcus Yarns,FA,RB,-
669,474,Michael Carter,ARI,RB,8
670,475,John Bates,WAS,TE,12
671,476,Jelani Woods,NYJ,TE,9
672,477,Jeff Wilson Jr.,FA,RB,-
673,478,Daniel Bellinger,NYG,TE,14
674,479,Cooper Rush,BAL,QB,7
675,480,DeeJay Dallas,FA,RB,-
676,481,Josh Williams,TB,RB,9
677,482,Brock Wright,DET,TE,8
678,483,Luke Lachey,FA,TE,-
679,484,Thomas Fidone II,NYG,TE,14
680,485,Drew Lock,SEA,QB,8
681,486,Kene Nwangwu,NYJ,RB,9
682,487,Josh Whyle,FA,TE,-
683,488,Lucky Jackson,MIN,WR,6
684,489,Harrison Bryant,HOU,TE,6
